count;year;gender_event;gender_athlete;event;type;family_name_ok;given_name_ok;country;continent;country_career;athlete_ok;medal
26682;2009;Women;Women;100m Freestyle;Individual;Steffen;Britta;GER;Europe;GER;Britta Steffen (GER);Gold
26683;2009;Women;Women;100m Freestyle;Individual;Halsall;Francesca;GBR;Europe;GBR;Francesca Halsall (GBR);Silver
26684;2009;Women;Women;100m Freestyle;Individual;Trickett;Libby;AUS;Oceania;AUS;Libby Trickett (AUS);Bronze
26867;2009;Women;Women;200m Freestyle;Individual;Pellegrini;Federica;ITA;Europe;ITA;Federica Pellegrini (ITA);Gold
26868;2009;Women;Women;200m Freestyle;Individual;Schmitt;Allison;USA;America;USA;Allison Schmitt (USA);Silver
26869;2009;Women;Women;200m Freestyle;Individual;Vollmer;Dana;USA;America;USA;Dana Vollmer (USA);Bronze
26983;2009;Women;Women;400m Freestyle;Individual;Pellegrini;Federica;ITA;Europe;ITA;Federica Pellegrini (ITA);Gold
26984;2009;Women;Women;400m Freestyle;Individual;Jackson;Joanne;GBR;Europe;GBR;Joanne Jackson (GBR);Silver
26985;2009;Women;Women;400m Freestyle;Individual;Adlington;Rebecca;GBR;Europe;GBR;Rebecca Adlington (GBR);Bronze
27048;2009;Women;Women;800m Freestyle;Individual;Friis;Lotte;DEN;Europe;DEN;Lotte Friis (DEN);Gold
27049;2009;Women;Women;800m Freestyle;Individual;Jackson;Joanne;GBR;Europe;GBR;Joanne Jackson (GBR);Silver
27050;2009;Women;Women;800m Freestyle;Individual;Filippi;Alessia;ITA;Europe;ITA;Alessia Filippi (ITA);Bronze
27104;2009;Women;Women;1500m Freestyle;Individual;Filippi;Alessia;ITA;Europe;ITA;Alessia Filippi (ITA);Gold
27105;2009;Women;Women;1500m Freestyle;Individual;Friis;Lotte;DEN;Europe;DEN;Lotte Friis (DEN);Silver
27106;2009;Women;Women;1500m Freestyle;Individual;Potec;Camelia;ROU;Europe;ROU;Camelia Potec (ROU);Bronze
27144;2009;Women;Women;50m Backstroke;Individual;Zhao;Jing;CHN;Asia;CHN;Jing Zhao (CHN);Gold
27145;2009;Women;Women;50m Backstroke;Individual;Samulski;Daniela;GER;Europe;GER;Daniela Samulski (GER);Silver
27146;2009;Women;Women;50m Backstroke;Individual;Gao;Chang;CHN;Asia;CHN;Chang Gao (CHN);Bronze
27301;2009;Women;Women;100m Backstroke;Individual;Spofforth;Gemma;GBR;Europe;GBR;Gemma Spofforth (GBR);Gold
27302;2009;Women;Women;100m Backstroke;Individual;Fesikova;Anastasia;RUS;Europe;RUS;Anastasia Fesikova (RUS);Silver
27303;2009;Women;Women;100m Backstroke;Individual;Seebohm;Emily;AUS;Oceania;AUS;Emily Seebohm (AUS);Bronze
27439;2009;Women;Women;200m Backstroke;Individual;Coventry;Kirsty;ZIM;Africa;ZIM;Kirsty Coventry (ZIM);Gold
27440;2009;Women;Women;200m Backstroke;Individual;Fesikova;Anastasia;RUS;Europe;RUS;Anastasia Fesikova (RUS);Silver
27441;2009;Women;Women;200m Backstroke;Individual;Beisel;Elizabeth;USA;America;USA;Elizabeth Beisel (USA);Bronze
27530;2009;Women;Women;50m Breaststroke;Individual;Efimova;Yuliya;RUS;Europe;RUS;Yuliya Efimova (RUS);Gold
27531;2009;Women;Women;50m Breaststroke;Individual;Soni;Rebecca;USA;America;USA;Rebecca Soni (USA);Silver
27532;2009;Women;Women;50m Breaststroke;Individual;Katsoulis;Sarah;AUS;Oceania;AUS;Sarah Katsoulis (AUS);Bronze
27664;2009;Women;Women;100m Breaststroke;Individual;Soni;Rebecca;USA;America;USA;Rebecca Soni (USA);Gold
27665;2009;Women;Women;100m Breaststroke;Individual;Efimova;Yuliya;RUS;Europe;RUS;Yuliya Efimova (RUS);Silver
27666;2009;Women;Women;100m Breaststroke;Individual;Carlson;Kasey;USA;America;USA;Kasey Carlson (USA);Bronze
27783;2009;Women;Women;200m Breaststroke;Individual;Higl;Nadja;SRB;Europe;SRB;Nadja Higl (SRB);Gold
27784;2009;Women;Women;200m Breaststroke;Individual;Pierse;Annamay;CAN;America;CAN;Annamay Pierse (CAN);Silver
27785;2009;Women;Women;200m Breaststroke;Individual;Jukic;Mirna;AUT;Europe;AUT;Mirna Jukic (AUT);Bronze
27871;2009;Women;Women;50m Butterfly;Individual;Guehrer-D'Cruz;Marieke;AUS;Oceania;AUS;Marieke Guehrer-D'Cruz (AUS);Gold
27872;2009;Women;Women;50m Butterfly;Individual;Zhou;Yafei;CHN;Asia;CHN;Yafei Zhou (CHN);Silver
27873;2009;Women;Women;50m Butterfly;Individual;Snildal;Ingvild;NOR;Europe;NOR;Ingvild Snildal (NOR);Bronze
28029;2009;Women;Women;100m Butterfly;Individual;Sjoestroem;Sarah;SWE;Europe;SWE;Sarah Sjoestroem (SWE);Gold
28030;2009;Women;Women;100m Butterfly;Individual;Schipper;Jessicah;AUS;Oceania;AUS;Jessicah Schipper (AUS);Silver
